ProjectID,Supplier,DocType,Year,Count,Avg_Invoice_Amount
Sanchez_2018,PICO PROPANE OPERATING LLC,APINV,2018,177,2060.2
Sanchez_2018,PROFAB CONSTRUCTION,APINV,2018,778,1797.77
Sanchez_2018,JET SPECIALTY INC,APINV,2018,318,2364.18
Sanchez_2018,WS ENERGY SERVICES LLC,APINV,2018,254,2051.7
Sanchez_2018,BASIC ENERGY SERVICES,APINV,2018,131,3590.15
Sanchez_2018,FTS INTERNATIONAL SERVICES,APINV,2018,259,28995.01
Sanchez_2018,RIG RUNNERS INC,APINV,2018,192,3145.88
Sanchez_2018,NOV LP - COMPLETION TOOLS,APINV,2018,71,6101.5
Sanchez_2018,BEAR CREEK SERVICES LLC,APINV,2018,148,10627.58
Sanchez_2018,PETE DAILEY & ASSOCIATES INC,APINV,2018,63,3165.79
Sanchez_2018,BELL SUPPLY COMPANY,APINV,2018,87,12635.16
Sanchez_2018,RDZ OILFIELD LEASE SERVICES INC,APINV,2018,160,960.57
Sanchez_2018,RUSCO OPERATING LLC,APINV,2018,258,11534.64
Sanchez_2018,ROCKET FIELD SERVICES LLC,APINV,2018,99,1261.08
Sanchez_2018,CRAWFORD ELECTRIC SUPPLY,APINV,2018,172,2677.08
Sanchez_2018,DETECHTION USA INC,APINV,2018,60,3394.25
Sanchez_2018,C&J SPEC-RENT SERVICES INC,APINV,2018,236,48983.42
Sanchez_2018,SPN WELL SERVICE RIG SERVICE,APINV,2018,85,7670.76
Sanchez_2018,CORE-TECH WIRELINE SERVICES OF TEXA,APINV,2018,149,1041.67
Sanchez_2018,CNC OILFIELD SERVICES LLC,APINV,2018,330,625.85
Sanchez_2018,PLATINUM PTS II LLC,APINV,2018,193,2571.32
Sanchez_2018,V&M OIL & GAS SERVICES INC,APINV,2018,161,2252.05
Sanchez_2018,STRONG SERVICES LP,APINV,2018,431,297.97
Sanchez_2018,BLUE BONNET ENERGY SERVICES,APINV,2018,64,781.7
Sanchez_2018,SCOUT OILFIELD SERVICES LLC,APINV,2018,1810,656.51
Sanchez_2018,EMS USA  INC,APINV,2018,54,422.37
Sanchez_2018,NEWTEC ENERGY SERVICES LLC,APINV,2018,241,1911.24
Sanchez_2018,SLICK OPERATING SERVICES LLC,APINV,2018,160,2791.86
Sanchez_2018,AEGIS CHEMICAL SOLUTIONS LLC,APINV,2018,1258,2685.88
Sanchez_2018,MO-VAC SERVICE COMPANY INC,APINV,2018,349,1008.32
