ProjectID,Supplier,Year,Avg_Invoice_Amount,Total_Invoice_Count
Anadarko_2014,TRANSOCEAN DEEPWATER MAURITIUS,2013,189244598.9,56
Anadarko_2014,BP AMERICA PRODUCTION COMPANY,2011,79340832.74,58
Anadarko_2014,SONATRACH,2013,55522954.98,65
Anadarko_2014,DOLPHIN DRILLING LTD,2014,46327429.89,82
ETP_2017,ENERGY TRANSFER EQUITY LP,2016,46003960.43,57
Anadarko_2018,SONATRACH,2017,45845322.74,109
Tesoro_2014,BP OIL SUPPLY COMPANY,2013,45356198.72,135
Anadarko_2014,JPMORGAN CHASE BANK,2012,43102646.17,59
Tesoro_2014,PETROCHINA INTERNATIONAL,2013,23093160.16,138
Anadarko_2014,BANK OF NEW YORK,2014,22871517.69,66
Anadarko_2014,VETCO GRAY INC,2011,22521551.4,93
Anadarko_2014,DOLPHIN DRILLING LTD,2011,22054343.4,84
ETP_2016,CREDIT SUISSE USA INC,2015,21731523.42,59
Anadarko_2018,COMPUTERSHARE INC.,2017,20869567.31,52
Tesoro_2014,EXXONMOBIL ALASKA PRODUCTION INC,2013,20650607.09,81
Tesoro_2014,RM-OFFSHORE TSO RM&S 0900,2012,20473292.66,76
Anadarko_2014,DOLPHIN DRILLING LTD,2013,19119159.48,123
Tesoro_2014,TAURUS PETROLEUM LIMITED,2012,18878560.81,65
Anadarko_2014,SCHLUMBERGER SLB OILFIELD EASTERN,2011,18014167.88,69
MarathonOil_2013,CONTINENTAL RESOURCES INC,2012,17753789.15,57
Anadarko_2014,"THE SANKO STEAMSHIP CO., LTD., TOKY",2011,16673020.52,52
ETP_2017,US BANK NATIONAL ASSOCIATION,2016,16370044.73,164
Tesoro_2014,TSO - REFINING & MKTING SUPPLY (090,2013,14989558.55,163
Tesoro_2014,GUNVOR SA,2013,14728734.05,122
Anadarko_2014,BUNKERFUELS A DBA DIV OF,2012,14660405.15,62
ChevronPhillips_2012,CHEVRON USA PRODUCTS CO  A/R DEPT,2010,14524072.76,52
Anadarko_2018,CCS JV,2017,13756989.66,67
Anadarko_2014,DOLPHIN DRILLING LTD,2012,13419678.65,146
ETP_2016,US BANK NATIONAL ASSOCIATION,2015,13069371.03,120
Anadarko_2014,WEATHERFORD LABORATORIES INC,2011,12798301.3,57
Anadarko_2014,SCHLUMBERGER OILFIELD EASTERN LTD,2014,12779174.9,78
Tesoro_2014,EXXONMOBIL ALASKA PRODUCTION INC,2012,12270428.7,115
Tesoro_2014,STATE BOARD OF EQUALIZATION,2013,12258033.79,150
NobleEnergy_2018,CITIBANK NA,2016,11479617.15,78
ChevronPhillips_2012,ONEOK NGL MARKETING LP,2011,11222431.81,71
Tesoro_2014,BP WEST COAST PRODUCTS LLC,2013,11147448.3,218
Anadarko_2014,BANK OF NEW YORK,2011,11076969.93,102
Tesoro_2014,CHEVRON PRODUCTS COMPANY,2011,10725383.56,85
Anadarko_2014,CC JV,2013,10522606.22,72
Anadarko_2014,BANK OF NEW YORK,2013,10391765.49,92
Anadarko_2014,HALLIBURTON INTERNATIONAL INC,2013,10378326.88,174
Anadarko_2014,BANK OF NEW YORK,2012,10368285.47,102
Tesoro_2014,ANADARKO PETROLEUM CORP,2012,10304169.55,61
Anadarko_2018,CGG SERVICES US INC,2017,10277292.14,66
Anadarko_2018,DIAN - DIRECCION DE IMPUESTOS Y,2017,10189686.95,59
Anadarko_2014,WORLD FUEL SERVICES INC,2014,10084296.57,83
Anadarko_2014,PETRO AMIGOS SUPPLY INC,2012,10012277.76,55
Anadarko_2014,PRODRILL ENGINEERING LIMITED,2011,9819234.88,66
Anadarko_2014,CC JV,2014,9368019.96,67
ETP_2017,RGP MARKETING LLC,2016,9216601.79,53
ChevronPhillips_2012,DCP NGL SERVICES LLC,2008,8745679.25,150
Tesoro_2014,INTERNAL REVENUE SERVICE,2013,8705598.92,174
Tesoro_2014,STATE BOARD OF EQUALIZATION,2012,8499800.92,142
Tesoro_2014,TESORO COMPANIES INC (0100),2013,8242721.83,81
ETP_2016,ENERGY TRANSFER PARTNERS LP,2015,8240039.66,319
MarathonOil_2013,SHELL CANADA ENERGY STATION M,2013,8214448.13,54
Tesoro_2014,CHEVRON PRODUCTS COMPANY,2012,8100266.56,372
Anadarko_2018,BANK OF NEW YORK MELLON,2017,7916851.57,100
Anadarko_2014,WORLD FUEL SERVICES INC,2013,7822873.94,100
Anadarko_2014,M I OVERSEAS LTD,2011,7365823.14,63
ChevronPhillips_2012,CHEVRON USA PRODUCTS CO  A/R DEPT,2008,7262462.6,58
ChevronPhillips_2012,DCP NGL SERVICES LLC,2010,7109996.04,175
Anadarko_2014,TIDEWATER MARINE LLC,2013,7059466.65,285
ChevronPhillips_2012,DCP NGL SERVICES LLC,2011,6944803.08,228
